RESEARCHER,Title,School Year,Published/Presented,Abstract,Keywords,Link
BEA MICHELLE ANNE P. DEPAMAYLO,RIDERS: Road Infrastructure Design Evaluation and Reporting System,2022-2023(2nd),1,"The paper discusses the development of a road evaluation and reporting system. The project will utilize Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its GPS module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair providing a solution for road assessment.","Road Infrastructure Evaluation System, Road Quality, Road Assessment, Internet of Things, Machine Learning, Cloud Platform",https://drive.google.com/file/d/1e2xSlDVwPHAzDOmYMLKvS12GzYAmr9aj/view?usp=drive_link
NIÑA MARIE S. MATEO,RIDERS: Road Infrastructure Design Evaluation and Reporting System,2022-2023(2nd),1,"The paper discusses the development of a road evaluation and reporting system. The project will utilize Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its GPS module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair providing a solution for road assessment.","Road Infrastructure Evaluation System, Road Quality, Road Assessment, Internet of Things, Machine Learning, Cloud Platform",https://drive.google.com/file/d/1e2xSlDVwPHAzDOmYMLKvS12GzYAmr9aj/view?usp=drive_link
RAFAEL LORENZO T. REYES,RIDERS: Road Infrastructure Design Evaluation and Reporting System,2022-2023(2nd),1,"The paper discusses the development of a road evaluation and reporting system. The project will utilize Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its GPS module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair providing a solution for road assessment.","Road Infrastructure Evaluation System, Road Quality, Road Assessment, Internet of Things, Machine Learning, Cloud Platform",https://drive.google.com/file/d/1e2xSlDVwPHAzDOmYMLKvS12GzYAmr9aj/view?usp=drive_link
KEVIN I. TECSON,RIDERS: Road Infrastructure Design Evaluation and Reporting System,2022-2023(2nd),1,"The paper discusses the development of a road evaluation and reporting system. The project will utilize Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its GPS module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair providing a solution for road assessment.","Road Infrastructure Evaluation System, Road Quality, Road Assessment, Internet of Things, Machine Learning, Cloud Platform",https://drive.google.com/file/d/1e2xSlDVwPHAzDOmYMLKvS12GzYAmr9aj/view?usp=drive_link
NIKKO E. VILLANUEVA,RIDERS: Road Infrastructure Design Evaluation and Reporting System,2022-2023(2nd),1,"The paper discusses the development of a road evaluation and reporting system. The project will utilize Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its GPS module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair providing a solution for road assessment.","Road Infrastructure Evaluation System, Road Quality, Road Assessment, Internet of Things, Machine Learning, Cloud Platform",https://drive.google.com/file/d/1e2xSlDVwPHAzDOmYMLKvS12GzYAmr9aj/view?usp=drive_link
JAN BERNARD P. DORIA,GALA: A 3D Adventure Mobile Game Application about Philippine Wildlife Using A* Algorithm,2022-2023(2nd),1,"The Philippines is home to diverse wildlife, including many unique and endemic species. However, the country's wildlife faces many threats, from hunting and habitat destruction. GALA is a mobile game application designed to gain an understanding and promote awareness of the wildlife in the Philippines. GALA offers a third-person adventure role-playing experience that allows players to navigate different habitats or environments while discovering and learning through an engaging and interactive experience that allows users to learn about the unique and endangered species in the country. It also simulates how each of the animal species lives and survives in their natural habitat with the use of the A* algorithm. Rapid Application Development (RAD) methodology was utilized as the development model, emphasizing iterative development and prototyping, focusing on quick delivery and feedback. The overall quality of the mobile game application was assessed based on the computing standards of ISO 9126, which includes the criteria for the application's functionality, usability, efficiency, and reliability. Based on the responses from forty-five (45) respondents, which consists of thirty-eight (38) students from Bagbag elementary school, four (4) People knowledgeable about wildlife, and three (3) IT professionals, GALA has achieved an overall rating of  5.30 out of 6 which implies that the respondents agreed that the mobile game application is functional, usable, efficient and reliable.","Philippine wildlife, mobile game application, adventure role-playing. Educational game, Rapid Application Development, A* Algorithm, wildlife simulation",https://drive.google.com/file/d/1aBXepz8bjevuST5rWtXyWnPijr2UTCq3/view?usp=drive_link
ALDRICH JAMES A. LOZADA,GALA: A 3D Adventure Mobile Game Application about Philippine Wildlife Using A* Algorithm,2022-2023(2nd),1,"The Philippines is home to diverse wildlife, including many unique and endemic species. However, the country's wildlife faces many threats, from hunting and habitat destruction. GALA is a mobile game application designed to gain an understanding and promote awareness of the wildlife in the Philippines. GALA offers a third-person adventure role-playing experience that allows players to navigate different habitats or environments while discovering and learning through an engaging and interactive experience that allows users to learn about the unique and endangered species in the country. It also simulates how each of the animal species lives and survives in their natural habitat with the use of the A* algorithm. Rapid Application Development (RAD) methodology was utilized as the development model, emphasizing iterative development and prototyping, focusing on quick delivery and feedback. The overall quality of the mobile game application was assessed based on the computing standards of ISO 9126, which includes the criteria for the application's functionality, usability, efficiency, and reliability. Based on the responses from forty-five (45) respondents, which consists of thirty-eight (38) students from Bagbag elementary school, four (4) People knowledgeable about wildlife, and three (3) IT professionals, GALA has achieved an overall rating of  5.30 out of 6 which implies that the respondents agreed that the mobile game application is functional, usable, efficient and reliable.","Philippine wildlife, mobile game application, adventure role-playing. Educational game, Rapid Application Development, A* Algorithm, wildlife simulation",https://drive.google.com/file/d/1aBXepz8bjevuST5rWtXyWnPijr2UTCq3/view?usp=drive_link
AERON LOUISE E. MACAPANAS,GALA: A 3D Adventure Mobile Game Application about Philippine Wildlife Using A* Algorithm,2022-2023(2nd),1,"The Philippines is home to diverse wildlife, including many unique and endemic species. However, the country's wildlife faces many threats, from hunting and habitat destruction. GALA is a mobile game application designed to gain an understanding and promote awareness of the wildlife in the Philippines. GALA offers a third-person adventure role-playing experience that allows players to navigate different habitats or environments while discovering and learning through an engaging and interactive experience that allows users to learn about the unique and endangered species in the country. It also simulates how each of the animal species lives and survives in their natural habitat with the use of the A* algorithm. Rapid Application Development (RAD) methodology was utilized as the development model, emphasizing iterative development and prototyping, focusing on quick delivery and feedback. The overall quality of the mobile game application was assessed based on the computing standards of ISO 9126, which includes the criteria for the application's functionality, usability, efficiency, and reliability. Based on the responses from forty-five (45) respondents, which consists of thirty-eight (38) students from Bagbag elementary school, four (4) People knowledgeable about wildlife, and three (3) IT professionals, GALA has achieved an overall rating of  5.30 out of 6 which implies that the respondents agreed that the mobile game application is functional, usable, efficient and reliable.","Philippine wildlife, mobile game application, adventure role-playing. Educational game, Rapid Application Development, A* Algorithm, wildlife simulation",https://drive.google.com/file/d/1aBXepz8bjevuST5rWtXyWnPijr2UTCq3/view?usp=drive_link
FRANCISCO L. LAWRENCE,TARA: TRAVELERS' AUTOMATED ROUTING APPLICATION UTILIZING BELLMAN - FORD ALGORITHM WITH AND K - SHORTEST PATH ALGORITHM,2017-2018(1st),3,"This study is focus on the analysis, design, and development of Traveler's Automated Routing Application (TARA) utilizing Bellman- Ford Algorithm. TARA allows the users to visit multiple tourist destinations using their mobile devices. The application provides shortest route, efficient scheduling of activities and recommendations where to visit first. This leads to minimizing the time being consumed when creating itinerary, traveling into different places and enjoy hassle free trip. Rapid Application Development (RAD) was observed in the analysis, design and development of the application. The Bellman-Ford algorithm was used to compute the shortest possible path from the single source vertex to all other vertices. During the testing, the study was able to help the travelers in creating and handling their itineraries. Also, the shortest route with turn-by-turn navigation with instruction was given to the users. Acceptance level of the application was measured using a survey form drafted from the ISO 25010. Based on the results, the study obtained 4.19 as an average rating from the evaluators. Thus, the application met the travelers' satisfaction in visiting, handling and creating their itineraries.","shortest route, multiple destination, itenerary, algorithms",https://dl.acm.org/doi/abs/10.1145/3322645.3322700
AMOS JOSEPH SANTOS,TARA: TRAVELERS' AUTOMATED ROUTING APPLICATION UTILIZING BELLMAN - FORD ALGORITHM WITH AND K - SHORTEST PATH ALGORITHM,2017-2018(1st),3,"This study is focus on the analysis, design, and development of Traveler's Automated Routing Application (TARA) utilizing Bellman- Ford Algorithm. TARA allows the users to visit multiple tourist destinations using their mobile devices. The application provides shortest route, efficient scheduling of activities and recommendations where to visit first. This leads to minimizing the time being consumed when creating itinerary, traveling into different places and enjoy hassle free trip. Rapid Application Development (RAD) was observed in the analysis, design and development of the application. The Bellman-Ford algorithm was used to compute the shortest possible path from the single source vertex to all other vertices. During the testing, the study was able to help the travelers in creating and handling their itineraries. Also, the shortest route with turn-by-turn navigation with instruction was given to the users. Acceptance level of the application was measured using a survey form drafted from the ISO 25010. Based on the results, the study obtained 4.19 as an average rating from the evaluators. Thus, the application met the travelers' satisfaction in visiting, handling and creating their itineraries.","shortest route, multiple destination, itenerary, algorithms",https://dl.acm.org/doi/abs/10.1145/3322645.3322700
